season,lg,type,number_tm,player,player_id
2008,NBA,All-Rookie,2nd,Jamario Moon,moonja01
2008,NBA,All-Rookie,2nd,Juan Carlos Navarro,navarju01
2008,NBA,All-Rookie,2nd,Rodney Stuckey,stuckro01
2008,NBA,All-Rookie,2nd,Thaddeus Young,youngth01
2007,NBA,All-Defense,1st,Raja Bell,bellra01
2007,NBA,All-Defense,1st,Bruce Bowen,bowenbr01
2007,NBA,All-Defense,1st,Kobe Bryant,bryanko01
2007,NBA,All-Defense,1st,Marcus Camby,cambyma01
2007,NBA,All-Defense,1st,Tim Duncan,duncati01
2007,NBA,All-Defense,2nd,Kevin Garnett,garneke01
2007,NBA,All-Defense,2nd,Kirk Hinrich,hinriki01
2007,NBA,All-Defense,2nd,Jason Kidd,kiddja01
2007,NBA,All-Defense,2nd,Tayshaun Prince,princta01
2007,NBA,All-Defense,2nd,Ben Wallace,wallabe01
2007,NBA,All-NBA,1st,Amar'e Stoudemire,stoudam01
2007,NBA,All-NBA,1st,Tim Duncan,duncati01
2007,NBA,All-NBA,1st,Dirk Nowitzki,nowitdi01
2007,NBA,All-NBA,1st,Kobe Bryant,bryanko01
2007,NBA,All-NBA,1st,Steve Nash,nashst01
2007,NBA,All-NBA,2nd,Yao Ming,mingya01
2007,NBA,All-NBA,2nd,Chris Bosh,boshch01
2007,NBA,All-NBA,2nd,LeBron James,jamesle01
2007,NBA,All-NBA,2nd,Gilbert Arenas,arenagi01
2007,NBA,All-NBA,2nd,Tracy McGrady,mcgratr01
2007,NBA,All-NBA,3rd,Dwight Howard,howardw01
2007,NBA,All-NBA,3rd,Carmelo Anthony,anthoca01
2007,NBA,All-NBA,3rd,Kevin Garnett,garneke01
2007,NBA,All-NBA,3rd,Chauncey Billups,billuch01
2007,NBA,All-NBA,3rd,Dwyane Wade,wadedw01
2007,NBA,All-Rookie,1st,Andrea Bargnani,bargnan01
2007,NBA,All-Rookie,1st,Randy Foye,foyera01
2007,NBA,All-Rookie,1st,Rudy Gay,gayru01
2007,NBA,All-Rookie,1st,Brandon Roy,roybr01
2007,NBA,All-Rookie,1st,LaMarcus Aldridge,aldrila01
2007,NBA,All-Rookie,1st,Jorge Garbajosa,garbajo01
2007,NBA,All-Rookie,2nd,Paul Millsap,millspa01
2007,NBA,All-Rookie,2nd,Adam Morrison,morriad01
2007,NBA,All-Rookie,2nd,Craig Smith,smithcr01
2007,NBA,All-Rookie,2nd,Tyrus Thomas,thomaty01
2007,NBA,All-Rookie,2nd,Walter Herrmann,herrmwa01
2007,NBA,All-Rookie,2nd,Rajon Rondo,rondora01
2007,NBA,All-Rookie,2nd,Marcus Williams,willima03
2006,NBA,All-Defense,1st,Metta World Peace,artesro01
2006,NBA,All-Defense,1st,Bruce Bowen,bowenbr01
2006,NBA,All-Defense,1st,Andrei Kirilenko,kirilan01
2006,NBA,All-Defense,1st,Ben Wallace,wallabe01
2006,NBA,All-Defense,1st,Kobe Bryant,bryanko01
2006,NBA,All-Defense,1st,Jason Kidd,kiddja01
2006,NBA,All-Defense,2nd,Chauncey Billups,billuch01
2006,NBA,All-Defense,2nd,Marcus Camby,cambyma01
2006,NBA,All-Defense,2nd,Tim Duncan,duncati01
2006,NBA,All-Defense,2nd,Kevin Garnett,garneke01
2006,NBA,All-Defense,2nd,Tayshaun Prince,princta01
2006,NBA,All-NBA,1st,Shaquille O'Neal,onealsh01
2006,NBA,All-NBA,1st,LeBron James,jamesle01
2006,NBA,All-NBA,1st,Dirk Nowitzki,nowitdi01
2006,NBA,All-NBA,1st,Kobe Bryant,bryanko01
2006,NBA,All-NBA,1st,Steve Nash,nashst01
2006,NBA,All-NBA,2nd,Ben Wallace,wallabe01
2006,NBA,All-NBA,2nd,Elton Brand,brandel01
2006,NBA,All-NBA,2nd,Tim Duncan,duncati01
2006,NBA,All-NBA,2nd,Chauncey Billups,billuch01
2006,NBA,All-NBA,2nd,Dwyane Wade,wadedw01
2006,NBA,All-NBA,3rd,Yao Ming,mingya01
2006,NBA,All-NBA,3rd,Carmelo Anthony,anthoca01
2006,NBA,All-NBA,3rd,Shawn Marion,mariosh01
2006,NBA,All-NBA,3rd,Gilbert Arenas,arenagi01
2006,NBA,All-NBA,3rd,Allen Iverson,iversal01
2006,NBA,All-Rookie,1st,Andrew Bogut,bogutan01
2006,NBA,All-Rookie,1st,Channing Frye,fryech01
2006,NBA,All-Rookie,1st,Chris Paul,paulch01
2006,NBA,All-Rookie,1st,Charlie Villanueva,villach01
2006,NBA,All-Rookie,1st,Deron Williams,willide01
2006,NBA,All-Rookie,2nd,Raymond Felton,feltora01
2006,NBA,All-Rookie,2nd,Ryan Gomes,gomesry01
2006,NBA,All-Rookie,2nd,Danny Granger,grangda01
2006,NBA,All-Rookie,2nd,Luther Head,headlu01
2006,NBA,All-Rookie,2nd,Marvin Williams,willima02
2005,NBA,All-Defense,1st,Bruce Bowen,bowenbr01
2005,NBA,All-Defense,1st,Tim Duncan,duncati01
2005,NBA,All-Defense,1st,Kevin Garnett,garneke01
2005,NBA,All-Defense,1st,Larry Hughes,hughela01
2005,NBA,All-Defense,1st,Ben Wallace,wallabe01
2005,NBA,All-Defense,2nd,Chauncey Billups,billuch01
2005,NBA,All-Defense,2nd,Marcus Camby,cambyma01
2005,NBA,All-Defense,2nd,Andrei Kirilenko,kirilan01
2005,NBA,All-Defense,2nd,Tayshaun Prince,princta01
2005,NBA,All-Defense,2nd,Jason Kidd,kiddja01
2005,NBA,All-Defense,2nd,Dwyane Wade,wadedw01
2005,NBA,All-NBA,1st,Shaquille O'Neal,onealsh01
2005,NBA,All-NBA,1st,Tim Duncan,duncati01
2005,NBA,All-NBA,1st,Dirk Nowitzki,nowitdi01
2005,NBA,All-NBA,1st,Allen Iverson,iversal01
2005,NBA,All-NBA,1st,Steve Nash,nashst01
2005,NBA,All-NBA,2nd,Amar'e Stoudemire,stoudam01
2005,NBA,All-NBA,2nd,Kevin Garnett,garneke01
2005,NBA,All-NBA,2nd,LeBron James,jamesle01
2005,NBA,All-NBA,2nd,Ray Allen,allenra02
2005,NBA,All-NBA,2nd,Dwyane Wade,wadedw01
2005,NBA,All-NBA,3rd,Ben Wallace,wallabe01
2005,NBA,All-NBA,3rd,Shawn Marion,mariosh01
2005,NBA,All-NBA,3rd,Tracy McGrady,mcgratr01
2005,NBA,All-NBA,3rd,Gilbert Arenas,arenagi01
2005,NBA,All-NBA,3rd,Kobe Bryant,bryanko01
2005,NBA,All-Rookie,1st,Luol Deng,denglu01
2005,NBA,All-Rookie,1st,Ben Gordon,gordobe01
2005,NBA,All-Rookie,1st,Dwight Howard,howardw01
2005,NBA,All-Rookie,1st,Andre Iguodala,iguodan01
2005,NBA,All-Rookie,1st,Emeka Okafor,okafoem01
2005,NBA,All-Rookie,2nd,Josh Childress,childjo01
2005,NBA,All-Rookie,2nd,Al Jefferson,jeffeal01
2005,NBA,All-Rookie,2nd,Nenad Krstić,krstine01
2005,NBA,All-Rookie,2nd,Jameer Nelson,nelsoja01
2005,NBA,All-Rookie,2nd,Josh Smith,smithjo03
2004,NBA,All-Defense,1st,Metta World Peace,artesro01
2004,NBA,All-Defense,1st,Bruce Bowen,bowenbr01
2004,NBA,All-Defense,1st,Kobe Bryant,bryanko01
2004,NBA,All-Defense,1st,Kevin Garnett,garneke01
2004,NBA,All-Defense,1st,Ben Wallace,wallabe01
2004,NBA,All-Defense,2nd,Doug Christie,chrisdo01
2004,NBA,All-Defense,2nd,Tim Duncan,duncati01
2004,NBA,All-Defense,2nd,Jason Kidd,kiddja01
2004,NBA,All-Defense,2nd,Andrei Kirilenko,kirilan01
2004,NBA,All-Defense,2nd,Theo Ratliff,ratlith01
2004,NBA,All-NBA,1st,Shaquille O'Neal,onealsh01
2004,NBA,All-NBA,1st,Tim Duncan,duncati01
2004,NBA,All-NBA,1st,Kevin Garnett,garneke01
2004,NBA,All-NBA,1st,Kobe Bryant,bryanko01
2004,NBA,All-NBA,1st,Jason Kidd,kiddja01
2004,NBA,All-NBA,2nd,Ben Wallace,wallabe01
2004,NBA,All-NBA,2nd,Jermaine O'Neal,onealje01
2004,NBA,All-NBA,2nd,Peja Stojaković,stojape01
2004,NBA,All-NBA,2nd,Sam Cassell,cassesa01
2004,NBA,All-NBA,2nd,Tracy McGrady,mcgratr01
2004,NBA,All-NBA,3rd,Yao Ming,mingya01
2004,NBA,All-NBA,3rd,Metta World Peace,artesro01
2004,NBA,All-NBA,3rd,Dirk Nowitzki,nowitdi01
2004,NBA,All-NBA,3rd,Baron Davis,davisba01
2004,NBA,All-NBA,3rd,Michael Redd,reddmi01
2004,NBA,All-Rookie,1st,Carmelo Anthony,anthoca01
2004,NBA,All-Rookie,1st,Chris Bosh,boshch01
2004,NBA,All-Rookie,1st,Kirk Hinrich,hinriki01
2004,NBA,All-Rookie,1st,LeBron James,jamesle01
2004,NBA,All-Rookie,1st,Dwyane Wade,wadedw01
2004,NBA,All-Rookie,2nd,Marquis Daniels,daniema01
2004,NBA,All-Rookie,2nd,T.J. Ford,fordtj01
2004,NBA,All-Rookie,2nd,Udonis Haslem,hasleud01
2004,NBA,All-Rookie,2nd,Jarvis Hayes,hayesja01
2004,NBA,All-Rookie,2nd,Josh Howard,howarjo01
2003,NBA,All-Defense,1st,Kobe Bryant,bryanko01
2003,NBA,All-Defense,1st,Doug Christie,chrisdo01
2003,NBA,All-Defense,1st,Tim Duncan,duncati01
2003,NBA,All-Defense,1st,Kevin Garnett,garneke01
2003,NBA,All-Defense,1st,Ben Wallace,wallabe01
2003,NBA,All-Defense,2nd,Metta World Peace,artesro01
2003,NBA,All-Defense,2nd,Bruce Bowen,bowenbr01
2003,NBA,All-Defense,2nd,Jason Kidd,kiddja01
2003,NBA,All-Defense,2nd,Shaquille O'Neal,onealsh01
2003,NBA,All-Defense,2nd,Eric Snow,snower01
2003,NBA,All-NBA,1st,Shaquille O'Neal,onealsh01
2003,NBA,All-NBA,1st,Tim Duncan,duncati01
2003,NBA,All-NBA,1st,Kevin Garnett,garneke01
2003,NBA,All-NBA,1st,Kobe Bryant,bryanko01
2003,NBA,All-NBA,1st,Tracy McGrady,mcgratr01
2003,NBA,All-NBA,2nd,Ben Wallace,wallabe01
2003,NBA,All-NBA,2nd,Dirk Nowitzki,nowitdi01
2003,NBA,All-NBA,2nd,Chris Webber,webbech01
2003,NBA,All-NBA,2nd,Allen Iverson,iversal01
2003,NBA,All-NBA,2nd,Jason Kidd,kiddja01
2003,NBA,All-NBA,3rd,Jermaine O'Neal,onealje01
2003,NBA,All-NBA,3rd,Jamal Mashburn,mashbja01
2003,NBA,All-NBA,3rd,Paul Pierce,piercpa01
2003,NBA,All-NBA,3rd,Stephon Marbury,marbust01
2003,NBA,All-NBA,3rd,Steve Nash,nashst01
2003,NBA,All-Rookie,1st,Caron Butler,butleca01
2003,NBA,All-Rookie,1st,Drew Gooden,goodedr01
2003,NBA,All-Rookie,1st,Nenê,hilarne01
2003,NBA,All-Rookie,1st,Yao Ming,mingya01
2003,NBA,All-Rookie,1st,Amar'e Stoudemire,stoudam01
2003,NBA,All-Rookie,2nd,Carlos Boozer,boozeca01
2003,NBA,All-Rookie,2nd,J.R. Bremer,bremejr01
2003,NBA,All-Rookie,2nd,Manu Ginóbili,ginobma01
2003,NBA,All-Rookie,2nd,Gordan Giriček,giricgo01
2003,NBA,All-Rookie,2nd,Jay Williams,willija03
2002,NBA,All-Defense,1st,Tim Duncan,duncati01
2002,NBA,All-Defense,1st,Kevin Garnett,garneke01
2002,NBA,All-Defense,1st,Jason Kidd,kiddja01
2002,NBA,All-Defense,1st,Gary Payton,paytoga01
2002,NBA,All-Defense,1st,Ben Wallace,wallabe01
2002,NBA,All-Defense,2nd,Bruce Bowen,bowenbr01
2002,NBA,All-Defense,2nd,Kobe Bryant,bryanko01
2002,NBA,All-Defense,2nd,Doug Christie,chrisdo01
2002,NBA,All-Defense,2nd,Dikembe Mutombo,mutomdi01
2002,NBA,All-Defense,2nd,Clifford Robinson,robincl02
2002,NBA,All-NBA,1st,Shaquille O'Neal,onealsh01
2002,NBA,All-NBA,1st,Tim Duncan,duncati01
2002,NBA,All-NBA,1st,Tracy McGrady,mcgratr01
2002,NBA,All-NBA,1st,Kobe Bryant,bryanko01
2002,NBA,All-NBA,1st,Jason Kidd,kiddja01
2002,NBA,All-NBA,2nd,Dirk Nowitzki,nowitdi01
2002,NBA,All-NBA,2nd,Kevin Garnett,garneke01
2002,NBA,All-NBA,2nd,Chris Webber,webbech01
2002,NBA,All-NBA,2nd,Allen Iverson,iversal01
2002,NBA,All-NBA,2nd,Gary Payton,paytoga01
2002,NBA,All-NBA,3rd,Dikembe Mutombo,mutomdi01
2002,NBA,All-NBA,3rd,Jermaine O'Neal,onealje01
2002,NBA,All-NBA,3rd,Ben Wallace,wallabe01
2002,NBA,All-NBA,3rd,Steve Nash,nashst01
2002,NBA,All-NBA,3rd,Paul Pierce,piercpa01
2002,NBA,All-Rookie,1st,Shane Battier,battish01
2002,NBA,All-Rookie,1st,Pau Gasol,gasolpa01
2002,NBA,All-Rookie,1st,Andrei Kirilenko,kirilan01
2002,NBA,All-Rookie,1st,Tony Parker,parketo01
2002,NBA,All-Rookie,1st,Jason Richardson,richaja01
2002,NBA,All-Rookie,2nd,Eddie Griffin,griffed01
2002,NBA,All-Rookie,2nd,Richard Jefferson,jefferi01
2002,NBA,All-Rookie,2nd,Željko Rebrača,rebraze01
2002,NBA,All-Rookie,2nd,Jamaal Tinsley,tinslja01
2002,NBA,All-Rookie,2nd,Joe Johnson,johnsjo02
2002,NBA,All-Rookie,2nd,Vladimir Radmanović,radmavl01
2001,NBA,All-Defense,1st,Tim Duncan,duncati01
2001,NBA,All-Defense,1st,Kevin Garnett,garneke01
2001,NBA,All-Defense,1st,Jason Kidd,kiddja01
2001,NBA,All-Defense,1st,Dikembe Mutombo,mutomdi01
2001,NBA,All-Defense,1st,Gary Payton,paytoga01
2001,NBA,All-Defense,2nd,Bruce Bowen,bowenbr01
2001,NBA,All-Defense,2nd,P.J. Brown,brownpj01
2001,NBA,All-Defense,2nd,Kobe Bryant,bryanko01
2001,NBA,All-Defense,2nd,Doug Christie,chrisdo01
2001,NBA,All-Defense,2nd,Shaquille O'Neal,onealsh01
2001,NBA,All-NBA,1st,Shaquille O'Neal,onealsh01
2001,NBA,All-NBA,1st,Tim Duncan,duncati01
2001,NBA,All-NBA,1st,Chris Webber,webbech01
2001,NBA,All-NBA,1st,Allen Iverson,iversal01
2001,NBA,All-NBA,1st,Jason Kidd,kiddja01
2001,NBA,All-NBA,2nd,Dikembe Mutombo,mutomdi01
2001,NBA,All-NBA,2nd,Vince Carter,cartevi01
2001,NBA,All-NBA,2nd,Kevin Garnett,garneke01
2001,NBA,All-NBA,2nd,Kobe Bryant,bryanko01
2001,NBA,All-NBA,2nd,Tracy McGrady,mcgratr01
2001,NBA,All-NBA,3rd,David Robinson,robinda01
2001,NBA,All-NBA,3rd,Karl Malone,malonka01
2001,NBA,All-NBA,3rd,Dirk Nowitzki,nowitdi01
2001,NBA,All-NBA,3rd,Ray Allen,allenra02
2001,NBA,All-NBA,3rd,Gary Payton,paytoga01
2001,NBA,All-Rookie,1st,Marc Jackson,jacksma02
2001,NBA,All-Rookie,1st,Kenyon Martin,martike01
2001,NBA,All-Rookie,1st,Darius Miles,milesda01
2001,NBA,All-Rookie,1st,Mike Miller,millemi01
2001,NBA,All-Rookie,1st,Morris Peterson,petermo01
2001,NBA,All-Rookie,2nd,Courtney Alexander,alexaco02
2001,NBA,All-Rookie,2nd,Marcus Fizer,fizerma01
2001,NBA,All-Rookie,2nd,Desmond Mason,masonde01
2001,NBA,All-Rookie,2nd,Chris Mihm,mihmch01
2001,NBA,All-Rookie,2nd,Hedo Türkoğlu,turkohe01
2000,NBA,All-Defense,1st,Kobe Bryant,bryanko01
2000,NBA,All-Defense,1st,Tim Duncan,duncati01
2000,NBA,All-Defense,1st,Kevin Garnett,garneke01
2000,NBA,All-Defense,1st,Alonzo Mourning,mournal01
2000,NBA,All-Defense,1st,Gary Payton,paytoga01
2000,NBA,All-Defense,2nd,Eddie Jones,jonesed02
2000,NBA,All-Defense,2nd,Jason Kidd,kiddja01
2000,NBA,All-Defense,2nd,Shaquille O'Neal,onealsh01
2000,NBA,All-Defense,2nd,Scottie Pippen,pippesc01
2000,NBA,All-Defense,2nd,Clifford Robinson,robincl02
2000,NBA,All-NBA,1st,Shaquille O'Neal,onealsh01
2000,NBA,All-NBA,1st,Tim Duncan,duncati01
2000,NBA,All-NBA,1st,Kevin Garnett,garneke01
2000,NBA,All-NBA,1st,Jason Kidd,kiddja01
2000,NBA,All-NBA,1st,Gary Payton,paytoga01
2000,NBA,All-NBA,2nd,Alonzo Mourning,mournal01
2000,NBA,All-NBA,2nd,Grant Hill,hillgr01
2000,NBA,All-NBA,2nd,Karl Malone,malonka01
2000,NBA,All-NBA,2nd,Kobe Bryant,bryanko01
2000,NBA,All-NBA,2nd,Allen Iverson,iversal01
2000,NBA,All-NBA,3rd,David Robinson,robinda01
2000,NBA,All-NBA,3rd,Vince Carter,cartevi01
2000,NBA,All-NBA,3rd,Chris Webber,webbech01
2000,NBA,All-NBA,3rd,Eddie Jones,jonesed02
2000,NBA,All-NBA,3rd,Stephon Marbury,marbust01
2000,NBA,All-Rookie,1st,Elton Brand,brandel01
2000,NBA,All-Rookie,1st,Steve Francis,francst01
2000,NBA,All-Rookie,1st,Andre Miller,millean02
2000,NBA,All-Rookie,1st,Lamar Odom,odomla01
2000,NBA,All-Rookie,1st,Wally Szczerbiak,szczewa02
2000,NBA,All-Rookie,2nd,Metta World Peace,artesro01
2000,NBA,All-Rookie,2nd,Chucky Atkins,atkinch01
2000,NBA,All-Rookie,2nd,Shawn Marion,mariosh01
2000,NBA,All-Rookie,2nd,James Posey,poseyja01
2000,NBA,All-Rookie,2nd,Jason Terry,terryja01
1999,NBA,All-Defense,1st,Tim Duncan,duncati01
1999,NBA,All-Defense,1st,Jason Kidd,kiddja01
1999,NBA,All-Defense,1st,Alonzo Mourning,mournal01
1999,NBA,All-Defense,1st,Gary Payton,paytoga01
1999,NBA,All-Defense,1st,Karl Malone,malonka01
1999,NBA,All-Defense,1st,Scottie Pippen,pippesc01
1999,NBA,All-Defense,2nd,Mookie Blaylock,blaylmo01
1999,NBA,All-Defense,2nd,P.J. Brown,brownpj01
1999,NBA,All-Defense,2nd,Eddie Jones,jonesed02
1999,NBA,All-Defense,2nd,Dikembe Mutombo,mutomdi01
1999,NBA,All-Defense,2nd,Theo Ratliff,ratlith01
1999,NBA,All-NBA,1st,Alonzo Mourning,mournal01
1999,NBA,All-NBA,1st,Tim Duncan,duncati01
1999,NBA,All-NBA,1st,Karl Malone,malonka01
1999,NBA,All-NBA,1st,Allen Iverson,iversal01
1999,NBA,All-NBA,1st,Jason Kidd,kiddja01
1999,NBA,All-NBA,2nd,Shaquille O'Neal,onealsh01
1999,NBA,All-NBA,2nd,Grant Hill,hillgr01
1999,NBA,All-NBA,2nd,Chris Webber,webbech01
1999,NBA,All-NBA,2nd,Tim Hardaway,hardati01
1999,NBA,All-NBA,2nd,Gary Payton,paytoga01
1999,NBA,All-NBA,3rd,Hakeem Olajuwon,olajuha01
1999,NBA,All-NBA,3rd,Kevin Garnett,garneke01
1999,NBA,All-NBA,3rd,Antonio McDyess,mcdyean01
1999,NBA,All-NBA,3rd,Kobe Bryant,bryanko01
1999,NBA,All-NBA,3rd,John Stockton,stockjo01
1999,NBA,All-Rookie,1st,Mike Bibby,bibbymi01
1999,NBA,All-Rookie,1st,Vince Carter,cartevi01
1999,NBA,All-Rookie,1st,Matt Harpring,harprma01
1999,NBA,All-Rookie,1st,Paul Pierce,piercpa01
1999,NBA,All-Rookie,1st,Jason Williams,willija02
1999,NBA,All-Rookie,2nd,Michael Dickerson,dickemi01
1999,NBA,All-Rookie,2nd,Michael Doleac,doleami01
1999,NBA,All-Rookie,2nd,Antawn Jamison,jamisan01
1999,NBA,All-Rookie,2nd,Cuttino Mobley,moblecu01
1999,NBA,All-Rookie,2nd,Michael Olowokandi,olowomi01
1998,NBA,All-Defense,1st,Michael Jordan,jordami01
1998,NBA,All-Defense,1st,Karl Malone,malonka01
1998,NBA,All-Defense,1st,Dikembe Mutombo,mutomdi01
1998,NBA,All-Defense,1st,Gary Payton,paytoga01
1998,NBA,All-Defense,1st,Scottie Pippen,pippesc01
1998,NBA,All-Defense,2nd,Mookie Blaylock,blaylmo01
1998,NBA,All-Defense,2nd,Tim Duncan,duncati01
1998,NBA,All-Defense,2nd,Eddie Jones,jonesed02
1998,NBA,All-Defense,2nd,Charles Oakley,oaklech01
1998,NBA,All-Defense,2nd,David Robinson,robinda01
1998,NBA,All-NBA,1st,Shaquille O'Neal,onealsh01
1998,NBA,All-NBA,1st,Tim Duncan,duncati01
1998,NBA,All-NBA,1st,Karl Malone,malonka01
1998,NBA,All-NBA,1st,Michael Jordan,jordami01
1998,NBA,All-NBA,1st,Gary Payton,paytoga01
1998,NBA,All-NBA,2nd,David Robinson,robinda01
1998,NBA,All-NBA,2nd,Vin Baker,bakervi01
1998,NBA,All-NBA,2nd,Grant Hill,hillgr01
1998,NBA,All-NBA,2nd,Tim Hardaway,hardati01
1998,NBA,All-NBA,2nd,Rod Strickland,stricro02
1998,NBA,All-NBA,3rd,Dikembe Mutombo,mutomdi01
1998,NBA,All-NBA,3rd,Scottie Pippen,pippesc01
1998,NBA,All-NBA,3rd,Glen Rice,ricegl01
1998,NBA,All-NBA,3rd,Reggie Miller,millere01
1998,NBA,All-NBA,3rd,Mitch Richmond,richmmi01
1998,NBA,All-Rookie,1st,Tim Duncan,duncati01
1998,NBA,All-Rookie,1st,Zydrunas Ilgauskas,ilgauzy01
1998,NBA,All-Rookie,1st,Brevin Knight,knighbr01
1998,NBA,All-Rookie,1st,Ron Mercer,mercero01
1998,NBA,All-Rookie,1st,Keith Van Horn,vanhoke01
1998,NBA,All-Rookie,2nd,Derek Anderson,anderde01
1998,NBA,All-Rookie,2nd,Cedric Henderson,hendece02
