season,lg,player,player_id,age
2022,nba,Joel Embiid,embiijo01,27
2022,nba,Dejounte Murray,murrade01,25
2022,nba,Chris Paul,paulch01,36
2022,nba,Evan Mobley,mobleev01,20
2022,nba,Herbert Jones,joneshe01,23
2022,nba,Patrick Beverley,beverpa01,33
2022,nba,Dorian Finney-Smith,finnedo01,28
2022,nba,Kyle Lowry,lowryky01,35
2022,nba,Jimmy Butler,butleji01,32
2022,nba,Alex Caruso,carusal01,27
2022,nba,Jayson Tatum,tatumja01,23
2022,nba,Gary Payton II,paytoga02,29
2022,nba,Derrick White,whitede01,27
2022,nba,Scottie Barnes,barnesc01,20
2022,nba,Jaylen Brown,brownja02,25
2022,nba,Al Horford,horfoal01,35
2022,nba,Jarrett Allen,allenja01,23
2022,nba,OG Anunoby,anunoog01,24
2022,nba,Deandre Ayton,aytonde01,23
2022,nba,Desmond Bane,banede01,23
2022,nba,Devin Booker,bookede01,25
2022,nba,Ayo Dosunmu,dosunay01,22
2022,nba,Kevin Durant,duranke01,33
2022,nba,Luka Dončić,doncilu01,22
2022,nba,Nikola Jokić,jokicni01,26
2022,nba,Ja Morant,moranja01,22
2022,nba,Stephen Curry,curryst01,33
2022,nba,DeMar DeRozan,derozde01,32
2022,nba,Karl-Anthony Towns,townska01,26
2022,nba,LeBron James,jamesle01,37
2022,nba,Trae Young,youngtr01,23
2022,nba,Pascal Siakam,siakapa01,27
2022,nba,Donovan Mitchell,mitchdo01,25
2022,nba,Kyrie Irving,irvinky01,29
2022,nba,Khris Middleton,middlkh01,30
2022,nba,Cade Cunningham,cunnica01,20
2022,nba,Franz Wagner,wagnefr01,20
2022,nba,Jalen Green,greenja05,19
2022,nba,Josh Giddey,giddejo01,19
2022,nba,Bones Hyland,hylanbo01,21
2022,nba,Chris Duarte,duartch01,24
2022,nba,Jonathan Kuminga,kuminjo01,19
2022,nba,Davion Mitchell,mitchda01,23
2022,nba,Alperen Şengün,sengual01,19
2022,nba,Jalen Suggs,suggsja01,20
2022,nba,Ziaire Williams,willizi02,20
2022,nba,Jose Alvarado,alvarjo01,23
2022,nba,Austin Reaves,reaveau01,23
2022,nba,Josh Christopher,chrisjo01,20
2022,nba,Trey Murphy III,murphtr02,21
2022,nba,Cam Thomas,thomaca02,20
2021,nba,Rudy Gobert,goberru01,28
2021,nba,Ben Simmons,simmobe01,24
2021,nba,Draymond Green,greendr01,30
2021,nba,Jrue Holiday,holidjr01,30
2021,nba,Giannis Antetokounmpo,antetgi01,26
2021,nba,Bam Adebayo,adebaba01,23
2021,nba,Jimmy Butler,butleji01,31
2021,nba,Joel Embiid,embiijo01,26
2021,nba,Matisse Thybulle,thybuma01,23
2021,nba,Kawhi Leonard,leonaka01,29
2021,nba,Mikal Bridges,bridgmi01,24
2021,nba,Clint Capela,capelca01,26
2021,nba,Myles Turner,turnemy01,24
2021,nba,Marcus Smart,smartma01,26
2021,nba,Luguentz Dort,dortlu01,21
2021,nba,Chris Paul,paulch01,35
2021,nba,Paul George,georgpa01,30
2021,nba,Alex Caruso,carusal01,26
2021,nba,Dejounte Murray,murrade01,24
2021,nba,Kentavious Caldwell-Pope,caldwke01,27
2021,nba,T.J. McConnell,mccontj01,28
2021,nba,Julius Randle,randlju01,26
2021,nba,Dennis Schröder,schrode01,27
2021,nba,OG Anunoby,anunoog01,23
2021,nba,Dillon Brooks,brookdi01,25
2021,nba,Danny Green,greenda02,33
2021,nba,Fred VanVleet,vanvlfr01,26
2021,nba,Jaylen Brown,brownja02,24
2021,nba,Mike Conley,conlemi01,33
2021,nba,Anthony Davis,davisan02,27
2021,nba,Royce O'Neale,onealro01,27
2021,nba,Robert Covington,covinro01,30
2021,nba,Jae Crowder,crowdja01,30
2021,nba,Donovan Mitchell,mitchdo01,24
2021,nba,Nerlens Noel,noelne01,26
2021,nba,Daniel Theis,theisda01,28
2021,nba,Russell Westbrook,westbru01,32
2021,nba,Andrew Wiggins,wiggian01,25
2021,nba,Christian Wood,woodch01,25
2021,nba,Nikola Jokić,jokicni01,25
2021,nba,Stephen Curry,curryst01,32
2021,nba,Luka Dončić,doncilu01,21
2021,nba,Damian Lillard,lillada01,30
2021,nba,LeBron James,jamesle01,36
2021,nba,Bradley Beal,bealbr01,27
2021,nba,Kyrie Irving,irvinky01,28
2021,nba,Jayson Tatum,tatumja01,22
2021,nba,James Harden,hardeja01,31
2021,nba,Zion Williamson,willizi01,20
2021,nba,Kevin Durant,duranke01,32
2021,nba,Devin Booker,bookede01,24
2021,nba,Domantas Sabonis,sabondo01,24
2021,nba,Nikola Vučević,vucevni01,30
2021,nba,Trae Young,youngtr01,22
2021,nba,Zach LaVine,lavinza01,25
2021,nba,Khris Middleton,middlkh01,29
2021,nba,LaMelo Ball,ballla01,19
2021,nba,Anthony Edwards,edwaran01,19
2021,nba,Tyrese Haliburton,halibty01,20
2021,nba,Saddiq Bey,beysa01,21
2021,nba,Jae'Sean Tate,tateja01,25
2021,nba,Immanuel Quickley,quickim01,21
2021,nba,Desmond Bane,banede01,22
2021,nba,Isaiah Stewart,stewais01,19
2021,nba,Isaac Okoro,okorois01,20
2021,nba,Patrick Williams,willipa01,19
2021,nba,Facundo Campazzo,campafa01,29
2021,nba,Cole Anthony,anthoco01,20
2021,nba,James Wiseman,wisemja01,19
2021,nba,Payton Pritchard,pritcpa01,23
2021,nba,Jaden McDaniels,mcdanja02,20
2021,nba,Tyrese Maxey,maxeyty01,20
2021,nba,Théo Maledon,maledth01,19
2021,nba,Xavier Tillman Sr.,tillmxa01,22
2021,nba,KJ Martin,martike04,20
2021,nba,Chuma Okeke,okekech01,22
2021,nba,Aleksej Pokusevski,pokusal01,19
2021,nba,Devin Vassell,vassede01,20
2020,nba,Giannis Antetokounmpo,antetgi01,25
2020,nba,Anthony Davis,davisan02,26
2020,nba,Ben Simmons,simmobe01,23
2020,nba,Rudy Gobert,goberru01,27
2020,nba,Marcus Smart,smartma01,25
2020,nba,Kawhi Leonard,leonaka01,28
2020,nba,Brook Lopez,lopezbr01,31
2020,nba,Bam Adebayo,adebaba01,22
2020,nba,Patrick Beverley,beverpa01,31
2020,nba,Eric Bledsoe,bledser01,30
2020,nba,Kris Dunn,dunnkr01,25
2020,nba,P.J. Tucker,tuckepj01,34
2020,nba,Jimmy Butler,butleji01,30
2020,nba,Kyle Lowry,lowryky01,33
2020,nba,Jayson Tatum,tatumja01,21
2020,nba,Jrue Holiday,holidjr01,29
2020,nba,Chris Paul,paulch01,34
2020,nba,Joel Embiid,embiijo01,25
2020,nba,Pascal Siakam,siakapa01,25
2020,nba,LeBron James,jamesle01,35
2020,nba,Myles Turner,turnemy01,23
2020,nba,Paul George,georgpa01,29
2020,nba,OG Anunoby,anunoog01,22
2020,nba,Jaylen Brown,brownja02,23
2020,nba,Donte DiVincenzo,divindo01,23
2020,nba,Luka Dončić,doncilu01,20
2020,nba,Andre Drummond,drumman01,26
2020,nba,James Harden,hardeja01,30
2020,nba,Dejounte Murray,murrade01,23
2020,nba,Fred VanVleet,vanvlfr01,25
2020,nba,Hassan Whiteside,whiteha01,30
2020,nba,Steven Adams,adamsst01,26
2020,nba,Jarrett Allen,allenja01,21
2020,nba,Aron Baynes,baynear01,33
2020,nba,Avery Bradley,bradlav01,29
2020,nba,Jonathan Isaac,isaacjo01,22
2020,nba,Damian Lillard,lillada01,29
2020,nba,Khris Middleton,middlkh01,28
2020,nba,Kristaps Porziņģis,porzikr01,24
2020,nba,Matisse Thybulle,thybuma01,22
2020,nba,Russell Westbrook,westbru01,31
2020,nba,Nikola Jokić,jokicni01,24
2020,nba,Bradley Beal,bealbr01,26
2020,nba,Trae Young,youngtr01,21
2020,nba,Donovan Mitchell,mitchdo01,23
2020,nba,Brandon Ingram,ingrabr01,22
2020,nba,Kemba Walker,walkeke02,29
2020,nba,Devin Booker,bookede01,23
2020,nba,Karl-Anthony Towns,townska01,24
2020,nba,Zach LaVine,lavinza01,24
2020,nba,Ja Morant,moranja01,20
2020,nba,Kendrick Nunn,nunnke01,24
2020,nba,Brandon Clarke,clarkbr01,23
2020,nba,Zion Williamson,willizi01,19
2020,nba,Eric Paschall,pascher01,23
2020,nba,Tyler Herro,herroty01,20
2020,nba,Terence Davis,daviste02,22
2020,nba,Coby White,whiteco01,19
2020,nba,P.J. Washington,washipj01,21
2020,nba,Rui Hachimura,hachiru01,21
2020,nba,RJ Barrett,barrerj01,19
2020,nba,Darius Garland,garlada01,20
2020,nba,De'Andre Hunter,huntede01,22
2020,nba,Michael Porter Jr.,portemi01,21
2020,nba,Jaxson Hayes,hayesja02,19
2020,nba,Cameron Johnson,johnsca02,23
2020,nba,Cody Martin,martico01,24
2019,nba,Rudy Gobert,goberru01,26
2019,nba,Paul George,georgpa01,28
2019,nba,Giannis Antetokounmpo,antetgi01,24
2019,nba,Marcus Smart,smartma01,24
2019,nba,Eric Bledsoe,bledser01,29
2019,nba,Jrue Holiday,holidjr01,28
2019,nba,Klay Thompson,thompkl01,28
2019,nba,Joel Embiid,embiijo01,24
2019,nba,Draymond Green,greendr01,28
2019,nba,Kawhi Leonard,leonaka01,27
2019,nba,Danny Green,greenda02,31
2019,nba,Patrick Beverley,beverpa01,30
2019,nba,Myles Turner,turnemy01,22
2019,nba,P.J. Tucker,tuckepj01,33
2019,nba,Pascal Siakam,siakapa01,24
2019,nba,Derrick White,whitede01,24
2019,nba,Jimmy Butler,butleji01,29
2019,nba,Russell Westbrook,westbru01,30
2019,nba,Chris Paul,paulch01,33
2019,nba,Robert Covington,covinro01,28
2019,nba,Paul Millsap,millspa01,33
2019,nba,Kevin Durant,duranke01,30
2019,nba,James Harden,hardeja01,29
2019,nba,Al Horford,horfoal01,32
2019,nba,Malcolm Brogdon,brogdma01,26
2019,nba,Kyle Lowry,lowryky01,32
2019,nba,Josh Richardson,richajo01,25
2019,nba,Stephen Curry,curryst01,30
2019,nba,Anthony Davis,davisan02,25
2019,nba,Derrick Favors,favorde01,27
2019,nba,Joe Ingles,inglejo01,31
2019,nba,Donovan Mitchell,mitchdo01,22
2019,nba,Ben Simmons,simmobe01,22
2019,nba,Thaddeus Young,youngth01,30
2019,nba,Bam Adebayo,adebaba01,21
2019,nba,Kyle Anderson,anderky01,25
2019,nba,Bradley Beal,bealbr01,25
2019,nba,Jordan Bell,belljo01,24
2019,nba,Jaylen Brown,brownja02,22
2019,nba,Mike Conley,conlemi01,31
2019,nba,Ed Davis,davised01,29
