season,award,player,player_id,age,winner
2023,nba clutch_poy,Jalen Brunson,brunsja01,26,False
2023,nba clutch_poy,Joel Embiid,embiijo01,28,False
2023,nba clutch_poy,Donovan Mitchell,mitchdo01,26,False
2023,nba clutch_poy,Shai Gilgeous-Alexander,gilgesh01,24,False
2023,nba clutch_poy,Luka Dončić,doncilu01,23,False
2023,nba clutch_poy,Stephen Curry,curryst01,34,False
2023,nba clutch_poy,Damian Lillard,lillada01,32,False
2023,nba clutch_poy,Jayson Tatum,tatumja01,24,False
2023,nba clutch_poy,Kyrie Irving,irvinky01,30,False
2023,nba clutch_poy,Nikola Jokić,jokicni01,27,False
2023,nba clutch_poy,Julius Randle,randlju01,28,False
2023,nba dpoy,Jaren Jackson Jr.,jacksja02,23,True
2023,nba dpoy,Brook Lopez,lopezbr01,34,False
2023,nba dpoy,Evan Mobley,mobleev01,21,False
2023,nba dpoy,Draymond Green,greendr01,32,False
2023,nba dpoy,Bam Adebayo,adebaba01,25,False
2023,nba dpoy,Giannis Antetokounmpo,antetgi01,28,False
2023,nba dpoy,OG Anunoby,anunoog01,25,False
2023,nba dpoy,Jrue Holiday,holidjr01,32,False
2023,nba dpoy,Joel Embiid,embiijo01,28,False
2023,nba dpoy,Nic Claxton,claxtni01,23,False
2023,nba dpoy,Alex Caruso,carusal01,28,False
2023,nba dpoy,Jimmy Butler,butleji01,33,False
2023,nba mip,Lauri Markkanen,markkla01,25,True
2023,nba mip,Shai Gilgeous-Alexander,gilgesh01,24,False
2023,nba mip,Jalen Brunson,brunsja01,26,False
2023,nba mip,Mikal Bridges,bridgmi01,26,False
2023,nba mip,Nic Claxton,claxtni01,23,False
2023,nba mip,Tyrese Haliburton,halibty01,22,False
2023,nba mip,Trey Murphy III,murphtr02,22,False
2023,nba mip,De'Aaron Fox,foxde01,25,False
2023,nba mip,Kevon Looney,looneke01,26,False
2023,nba mip,Austin Reaves,reaveau01,24,False
2023,nba mip,Aaron Gordon,gordoaa01,27,False
2023,nba mip,Jaren Jackson Jr.,jacksja02,23,False
2023,nba mip,Malik Monk,monkma01,24,False
2023,nba mvp,Joel Embiid,embiijo01,28,True
2023,nba mvp,Nikola Jokić,jokicni01,27,False
2023,nba mvp,Giannis Antetokounmpo,antetgi01,28,False
2023,nba mvp,Jayson Tatum,tatumja01,24,False
2023,nba mvp,Shai Gilgeous-Alexander,gilgesh01,24,False
2023,nba mvp,Donovan Mitchell,mitchdo01,26,False
2023,nba mvp,Domantas Sabonis,sabondo01,26,False
2023,nba mvp,Luka Dončić,doncilu01,23,False
2023,nba mvp,Stephen Curry,curryst01,34,False
2023,nba mvp,Jimmy Butler,butleji01,33,False
2023,nba mvp,De'Aaron Fox,foxde01,25,False
2023,nba mvp,Jalen Brunson,brunsja01,26,False
2023,nba mvp,Ja Morant,moranja01,23,False
2023,nba roy,Paolo Banchero,banchpa01,20,True
2023,nba roy,Jalen Williams,willija06,21,False
2023,nba roy,Walker Kessler,kesslwa01,21,False
2023,nba roy,Bennedict Mathurin,mathube01,20,False
2023,nba roy,Keegan Murray,murrake02,22,False
2023,nba roy,Jaden Ivey,iveyja01,20,False
2023,nba smoy,Malcolm Brogdon,brogdma01,30,True
2023,nba smoy,Immanuel Quickley,quickim01,23,False
2023,nba smoy,Bobby Portis,portibo01,27,False
2023,nba smoy,Norman Powell,powelno01,29,False
2023,nba smoy,Malik Monk,monkma01,24,False
2023,nba smoy,Tyus Jones,jonesty01,26,False
2023,nba smoy,Austin Reaves,reaveau01,24,False
2023,nba smoy,Bennedict Mathurin,mathube01,20,False
2023,nba smoy,Russell Westbrook,westbru01,34,False
2023,nba smoy,Christian Wood,woodch01,27,False
2022,nba dpoy,Marcus Smart,smartma01,27,True
2022,nba dpoy,Mikal Bridges,bridgmi01,25,False
2022,nba dpoy,Rudy Gobert,goberru01,29,False
2022,nba dpoy,Bam Adebayo,adebaba01,24,False
2022,nba dpoy,Jaren Jackson Jr.,jacksja02,22,False
2022,nba dpoy,Giannis Antetokounmpo,antetgi01,27,False
2022,nba dpoy,Robert Williams,williro04,24,False
2022,nba dpoy,Jrue Holiday,holidjr01,31,False
2022,nba dpoy,Al Horford,horfoal01,35,False
2022,nba dpoy,Draymond Green,greendr01,31,False
2022,nba dpoy,Matisse Thybulle,thybuma01,24,False
2022,nba mip,Ja Morant,moranja01,22,True
2022,nba mip,Dejounte Murray,murrade01,25,False
2022,nba mip,Darius Garland,garlada01,22,False
2022,nba mip,Jordan Poole,poolejo01,22,False
2022,nba mip,Desmond Bane,banede01,23,False
2022,nba mip,Tyrese Maxey,maxeyty01,21,False
2022,nba mip,Miles Bridges,bridgmi02,23,False
2022,nba mip,Anfernee Simons,simonan01,22,False
2022,nba mip,Robert Williams,williro04,24,False
