season,lg,team,abbreviation,playoffs,g,mp,opp_fg_per_100_poss,opp_fga_per_100_poss,opp_fg_percent,opp_x2p_per_100_poss,opp_x2pa_per_100_poss,opp_x2p_percent,opp_ft_per_100_poss,opp_fta_per_100_poss,opp_ft_percent,opp_orb_per_100_poss,opp_drb_per_100_poss,opp_trb_per_100_poss,opp_ast_per_100_poss,opp_stl_per_100_poss,opp_blk_per_100_poss,opp_tov_per_100_poss,opp_pf_per_100_poss,opp_pts_per_100_poss
2017,NBA,Sacramento Kings,SAC,False,82,19880,40.1,86.8,0.462,28.7,55.5,0.517,19.7,25.3,0.778,10.5,34.2,44.7,24.7,8.8,5.3,14.6,20.9,111.3
2017,NBA,San Antonio Spurs,SAS,True,82,19805,39.0,88.0,0.443,30.4,63.0,0.483,16.9,21.9,0.771,10.3,33.4,43.7,22.6,7.9,4.3,15.2,20.9,103.5
2017,NBA,Toronto Raptors,TOR,True,82,19780,39.1,87.1,0.449,28.9,58.4,0.495,19.5,25.0,0.78,10.6,33.6,44.2,22.9,7.0,5.0,15.4,21.3,107.8
2017,NBA,Utah Jazz,UTA,True,82,19755,39.5,89.2,0.443,30.6,64.3,0.476,17.4,22.6,0.769,9.8,33.9,43.7,19.4,7.9,4.1,13.2,22.0,105.3
2017,NBA,Washington Wizards,WAS,True,82,19855,40.4,86.6,0.466,30.3,59.0,0.514,18.5,24.6,0.751,10.8,33.0,43.8,23.2,7.5,4.7,15.6,20.1,109.3
2016,NBA,Atlanta Hawks,ATL,True,82,19830,38.0,87.9,0.432,29.5,62.9,0.469,17.0,22.6,0.755,11.8,35.7,47.5,22.5,8.8,5.1,16.5,18.7,101.4
2016,NBA,Boston Celtics,BOS,True,82,19780,37.9,85.9,0.441,30.0,62.4,0.481,19.9,26.3,0.755,11.5,35.0,46.5,21.1,7.7,5.5,16.6,21.2,103.6
2016,NBA,Brooklyn Nets,BRK,False,82,19755,42.7,89.1,0.479,32.8,62.3,0.526,15.7,20.5,0.763,10.7,34.7,45.4,25.6,9.2,5.5,14.8,19.3,110.9
2016,NBA,Chicago Bulls,CHI,False,82,19905,40.7,92.4,0.441,32.5,68.6,0.474,16.8,22.8,0.737,12.2,35.2,47.4,23.3,8.2,5.9,12.3,19.3,106.5
2016,NBA,Charlotte Hornets,CHO,True,82,19855,39.2,88.1,0.444,30.0,61.8,0.485,16.9,21.9,0.769,9.2,37.1,46.3,24.0,7.0,5.7,13.9,21.1,104.3
2016,NBA,Cleveland Cavaliers,CLE,True,82,19855,39.1,87.3,0.448,30.7,63.2,0.487,17.9,24.0,0.743,9.8,33.7,43.6,22.8,7.6,4.7,14.2,21.9,104.5
2016,NBA,Dallas Mavericks,DAL,True,82,20005,40.0,88.7,0.451,30.5,61.1,0.5,17.6,23.8,0.738,11.0,36.7,47.8,22.9,7.8,4.6,14.5,22.4,107.0
2016,NBA,Denver Nuggets,DEN,False,82,19830,40.2,87.3,0.461,30.7,61.6,0.498,18.9,24.8,0.761,10.1,34.1,44.2,24.3,8.3,6.5,14.2,21.6,108.9
2016,NBA,Detroit Pistons,DET,True,82,19880,40.4,87.6,0.461,32.8,66.3,0.495,17.1,21.9,0.783,9.2,35.1,44.3,22.4,7.4,4.6,14.0,22.5,105.5
2016,NBA,Golden State Warriors,GSW,True,82,19880,38.7,89.1,0.435,31.0,65.7,0.472,18.5,24.5,0.757,11.4,32.4,43.7,22.2,8.6,4.1,14.4,19.8,103.8
2016,NBA,Houston Rockets,HOU,True,82,19830,39.7,86.5,0.459,29.8,59.1,0.504,18.9,25.0,0.756,12.0,33.3,45.4,25.0,9.1,5.0,16.9,22.9,108.1
2016,NBA,Indiana Pacers,IND,True,82,19880,38.3,87.0,0.44,29.8,61.5,0.484,17.8,23.7,0.751,11.0,34.7,45.6,21.3,7.9,4.6,16.2,20.9,102.9
2016,NBA,Los Angeles Clippers,LAC,True,82,19830,38.1,87.8,0.434,29.9,63.6,0.471,19.5,26.0,0.751,12.2,36.1,48.4,22.0,7.4,3.3,15.9,23.3,103.8
2016,NBA,Los Angeles Lakers,LAL,False,82,19730,42.3,89.4,0.473,33.4,63.7,0.524,18.1,24.7,0.731,11.4,37.1,48.5,25.7,7.9,5.8,13.2,20.0,111.6
2016,NBA,Memphis Grizzlies,MEM,True,82,19830,38.2,83.8,0.456,27.9,55.5,0.503,21.0,27.3,0.768,10.8,35.2,46.0,23.3,7.5,6.1,17.2,22.5,107.8
2016,NBA,Miami Heat,MIA,True,82,19830,39.5,89.4,0.442,31.7,66.9,0.474,17.5,22.8,0.77,10.4,33.4,43.8,21.4,7.9,4.4,13.7,20.8,104.4
2016,NBA,Milwaukee Bucks,MIL,False,82,19830,39.8,87.6,0.454,30.0,59.7,0.502,19.3,25.2,0.768,12.1,33.2,45.3,25.9,8.7,5.9,16.3,20.5,108.7
2016,NBA,Minnesota Timberwolves,MIN,False,82,19880,41.5,88.3,0.471,32.1,61.8,0.52,17.7,23.4,0.757,11.1,32.4,43.5,23.5,8.1,5.4,15.5,22.4,110.1
2016,NBA,New Orleans Pelicans,NOP,False,82,19780,40.3,86.2,0.468,30.9,60.6,0.51,19.4,24.7,0.783,9.2,36.5,45.7,23.8,7.5,5.3,14.1,20.4,109.5
2016,NBA,New York Knicks,NYK,False,82,19805,40.4,91.3,0.443,32.3,67.4,0.479,18.6,24.7,0.754,11.5,35.5,47.0,22.1,7.6,4.5,12.0,19.7,107.6
2016,NBA,Oklahoma City Thunder,OKC,True,82,19830,39.4,90.0,0.438,31.1,65.6,0.474,18.4,24.4,0.756,11.6,29.7,41.3,22.1,9.0,4.7,13.4,20.7,105.6
2016,NBA,Orlando Magic,ORL,False,82,19905,39.6,86.0,0.46,30.4,60.4,0.503,18.5,24.8,0.746,10.5,35.2,45.6,23.9,7.8,5.6,15.6,18.8,106.8
2016,NBA,Philadelphia 76ers,PHI,False,82,19805,40.2,86.7,0.464,32.4,64.7,0.5,20.8,26.5,0.786,11.3,37.0,48.3,23.7,8.8,5.8,15.4,19.4,109.2
2016,NBA,Phoenix Suns,PHO,False,82,19705,39.7,84.9,0.467,30.1,59.7,0.505,20.2,26.9,0.749,10.1,34.2,44.3,22.7,9.7,5.6,15.1,21.9,109.0
2016,NBA,Portland Trail Blazers,POR,True,82,19805,39.7,87.7,0.453,30.9,63.8,0.484,19.7,26.9,0.734,10.9,34.3,45.2,22.3,8.0,5.4,13.7,20.2,108.0
2016,NBA,Sacramento Kings,SAC,False,82,19805,40.3,87.2,0.462,30.2,59.4,0.508,17.6,23.1,0.762,11.2,33.5,44.7,24.1,8.8,5.3,15.9,21.8,108.4
2016,NBA,San Antonio Spurs,SAS,True,82,19705,38.0,87.2,0.436,31.0,65.9,0.47,15.9,20.9,0.758,9.7,33.5,43.2,22.2,7.7,4.1,15.8,20.7,99.0
2016,NBA,Toronto Raptors,TOR,True,82,19780,39.1,87.9,0.444,29.7,62.8,0.473,17.7,23.6,0.748,10.2,33.5,43.7,23.3,7.0,5.8,14.3,23.5,105.2
2016,NBA,Utah Jazz,UTA,False,82,19955,38.6,86.6,0.446,30.0,62.5,0.48,18.2,24.3,0.746,10.1,33.3,43.4,20.7,8.6,5.1,15.1,21.5,103.9
